resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
SC013,South Carolina,Charleston area,Charleston,Bright Spot Sober Living,Private certified women's sober living,Women in recovery,(803) 367-3203,,,https://www.brightspotsoberliving.org/, ,"Women's sober homes with accountability, structure, life skills, and reintegration support.",Apply online or call.,Private-pay. Request rates.,Accepts some forms of MAT.,SCARR certified,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.brightspotsoberliving.org/
SC014,South Carolina,Charleston area,Charleston,Sabal Recovery Centers,Private certified men's sober living,Men in recovery,(843) 261-3097,,,https://www.sabalrecoverycenters.com/, ,Men's sober living with community and recovery support.,Call for screening and vacancy.,Private-pay.,Accepts all forms of MAT.,SCARR certified,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.sabalrecoverycenters.com/
SC015,South Carolina,Charleston area,Charleston,The Sanctuary Recovery Foundation,Private certified men's sober living,Men in recovery,(843) 685-2614,,,https://www.sanctuary-recovery.com/, ,"Structured men's sober living with safety, cleanliness, and peer support.",Call for screening and vacancy.,Private-pay.,Accepts some forms of MAT.,SCARR certified,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.sanctuary-recovery.com/
SC016,South Carolina,Charleston area,Charleston,Charleston Recovery Center,Long-term residential recovery and sober living,"Men, women, and veterans",(843) 718-2780,,,https://www.charlestonrecoverycenter.com/, ,"Long-term residential recovery, sober living for program graduates, food support, and lifetime recovery community.",Call intake. The residential program has a published 90-day minimum.,Ask about fees and scholarship options.,,SCARR listed recovery provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.charlestonrecoverycenter.com/
SC017,South Carolina,Columbia and Cayce area,Cayce,Recovery Base,Certified recovery housing,"Men, women, and veterans",(803) 995-0329,,,https://www.myrecoverybase.com/, ,"Recovery residences, structured support, life skills, and veterans housing.",Apply online or call.,,Accepts all forms of MAT.,SCARR certified,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.myrecoverybase.com/
SC018,South Carolina,Greenville area,Greenville,Greenville Transitions,Private young men's sober living,Young men ages 18 to 28,(864) 404-6534,,,https://www.greenvilletransitions.com/, ,"Transitional living with 12-step, clinical, experiential, fitness, and life-skills components.",Apply online or call.,Private-pay.,Accepts some forms of MAT.,SCARR certified,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.greenvilletransitions.com/
SC019,South Carolina,Greenville area,Greenville,Jasmine Road,Women's long-term recovery housing,"Women survivors of trafficking, prostitution, and addiction",(864) 325-6752,,,https://jasmineroad.org/, ,"Long-term residential recovery, trauma support, employment, and transitional apartments.",Apply through the program.,Nonprofit program. Ask about participant costs.,Accepts some forms of MAT.,SCARR certified,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://jasmineroad.org/
SC020,South Carolina,Greenville area,Greenville,Sober Living America Greenville,Private sober living,"Men and women in recovery, including people with limited finances",(877) 430-0086,,,https://soberlivingamerica.org/, ,"Same-day-entry sober living, six-phase recovery curriculum, employment support, and peer accountability.",Call for same-day admission availability.,Private-pay with work-based affordability model.,Accepts some forms of MAT.,SCARR certified,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://soberlivingamerica.org/
SC021,South Carolina,Myrtle Beach area,Myrtle Beach,Myrtle Beach Recovery,Private residential recovery,Men in recovery,(843) 575-8626,,,https://www.myrtlebeachrecovery.com/, ,"Residential recovery, structured sober living, healthy routines, and peer support.",Call for screening and availability.,Private-pay.,Accepts some forms of MAT.,SCARR certified,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.myrtlebeachrecovery.com/
SC022,South Carolina,Myrtle Beach area,Myrtle Beach,SeaChange Women's Recovery Residence,Certified women's recovery housing,Women in recovery,(843) 492-2601,,,https://www.seachangemb.org/, ,Level 4 clinically supported and Level 2 peer-driven women's recovery residence tracks.,Apply online or call.,,Accepts some forms of MAT.,SCARR certified,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.seachangemb.org/
SC023,South Carolina,Myrtle Beach area,Myrtle Beach,Gloria's House at Southern Sky,Certified women's recovery housing,"Women, veterans, and trafficking survivors",(843) 949-4848,,,https://gloriasatsouthernsky.com/, ,"Women's recovery residence with structure, support, accountability, and purpose-focused care.",Call for screening and vacancy.,,,SCARR certified,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://gloriasatsouthernsky.com/
SC024,South Carolina,Charleston and Lowcountry,Charleston,Charleston Center Outpatient and Intensive Services,Public outpatient and IOP,Charleston County residents and people seeking publicly funded addiction treatment,(843) 722-0100,,,https://www.charlestoncounty.org/departments/charleston-center/,"5 Charleston Center Drive, Charleston, SC 29401","Assessment, outpatient, intensive outpatient, withdrawal management, opioid treatment, and residential services.",Call for assessment.,"Public funding, Medicaid, insurance, and sliding-scale options vary.",Opioid treatment and medication services are available.,County alcohol and drug authority,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.charlestoncounty.org/departments/charleston-center/
SC025,South Carolina,Greenville County,Greenville,The Phoenix Center Intensive Outpatient,Public IOP and treatment,Adults and adolescents seeking substance use treatment,(864) 467-3790,,,https://www.phoenixcenter.org/,"1400 Cleveland Street, Greenville, SC 29607","Assessment, outpatient, intensive outpatient, detoxification, residential, medication, and prevention services.",Call intake for assessment.,"Public funding, Medicaid, insurance, and sliding-scale options.",Medication services available.,Greenville County alcohol and drug authority,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.phoenixcenter.org/
SC026,South Carolina,Richland and Lexington Counties,Columbia,LRADAC Intensive Outpatient and Recovery Services,Public IOP treatment,Adults and adolescents with substance use needs,(803) 726-9300,,,https://www.lradac.org/,"2711 Colonial Drive, Columbia, SC 29203","Assessment, IOP, outpatient, medication, withdrawal, prevention, and recovery services.",Call for assessment.,"Public funding, Medicaid, insurance, and sliding-scale options.",Medication treatment is available.,County alcohol and drug authority,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.lradac.org/
SC027,South Carolina,Charleston and statewide intake,Charleston,Waypoint Recovery Center Outpatient,Private IOP and outpatient,Adults seeking addiction and co-occurring outpatient treatment,(843) 471-2900,,,https://waypointrecoverycenter.com/, ,"Private intensive outpatient, outpatient counseling, family support, and recovery planning.",Call admissions for assessment and insurance verification.,Commercial insurance and self-pay.,,Private accredited addiction provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://waypointrecoverycenter.com/
SC028,South Carolina,Hilton Head and Bluffton area,Hilton Head Island,BriteLife Recovery South Carolina,Private PHP and IOP,Adults seeking addiction and co-occurring treatment,(866) 470-2187,,,https://briteliferecovery.com/, ,"Private detox, residential, partial hospitalization, intensive outpatient, outpatient, and dual-diagnosis care.",Call admissions for assessment and insurance verification.,Commercial insurance and self-pay.,,Private accredited addiction provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://briteliferecovery.com/
SC029,South Carolina,Charleston area,Charleston,Recovery Unplugged Charleston,Private PHP and IOP,Adults with addiction and co-occurring mental health needs,(843) 996-0544,(855) 384-5794,,https://www.recoveryunplugged.com/locations/charleston-sc/, ,"Private PHP, IOP, outpatient, medication treatment, music-assisted therapy, and recovery support.",Call for assessment and benefits verification.,Commercial insurance and self-pay.,Medication-assisted treatment available.,Private accredited provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.recoveryunplugged.com/locations/charleston-sc/
SC030,South Carolina,Statewide,,South Carolina Recovery Housing Assistance,Recovery housing financial assistance,Eligible adults and young adults ages 18 to 24 entering Oxford House or SCARR-certified housing,,,,https://bhdd.sc.gov/office-substance-use-services/services/recovery/applications-recovery-housing-assistance, ,"Up to three months of assistance for approved Oxford House or SCARR-certified recovery housing, subject to funding.",Review the current application status and eligibility rules online.,Assistance is limited by eligibility and available funds.,,South Carolina BHDD Office of Substance Use Services,Application availability can open or close based on funding.,2026-08-03,https://bhdd.sc.gov/office-substance-use-services/services/recovery/applications-recovery-housing-assistance
