resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
AL011,Alabama,Statewide,,Feeding Alabama Food Bank Network,Food and basic needs,,,,,https://feedingal.org/find-help/,,Regional food bank and pantry locator across Alabama.,Use the food-assistance finder or call 211.,,,Feeding Alabama,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://feedingal.org/find-help/
AL012,Alabama,Birmingham area,Birmingham,Bradford Health Services Birmingham IOP,Private IOP,Adults and families seeking addiction treatment,(888) 762-3740,,,https://bradfordhealth.com/locations/birmingham/,,"Private IOP, outpatient, family programming, continuing care, and referral to detox or residential treatment.",Call admissions for assessment and insurance verification.,Commercial insurance and self-pay.,,Private accredited addiction provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://bradfordhealth.com/locations/birmingham/
AL013,Alabama,Huntsville area,Huntsville,Bradford Health Services Huntsville IOP,Private IOP,Adults and adolescents seeking addiction treatment,(888) 762-3740,,,https://bradfordhealth.com/locations/huntsville/,,"Private IOP, outpatient care, family services, and continuing care.",Call admissions.,Commercial insurance and self-pay.,,Bradford Health Services,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://bradfordhealth.com/locations/huntsville/
AL014,Alabama,Mobile area,Mobile,Bradford Health Services Mobile IOP,Private IOP,Adults seeking addiction treatment,(888) 762-3740,,,https://bradfordhealth.com/locations/mobile/,,"Private IOP, outpatient, family care, and continuing support.",Call admissions.,Commercial insurance and self-pay.,,Bradford Health Services,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://bradfordhealth.com/locations/mobile/
AL015,Alabama,Warrior and statewide intake,Warrior,Bradford Health Services Warrior Campus,Private residential and PHP continuum,Adults and adolescents with addiction and co-occurring needs,(888) 762-3740,,,https://bradfordhealth.com/locations/warrior/,,"Detox, residential treatment, extended care, family programming, and step-down outpatient services.",Call admissions.,Commercial insurance and self-pay.,,Private accredited addiction provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://bradfordhealth.com/locations/warrior/
AL016,Alabama,Birmingham area,Birmingham,Aletheia House Substance Use Services,"Residential, IOP, and reentry support","Adults, veterans, women, and people with housing or justice barriers",(205) 324-6502,,,https://www.specialkindofcaring.org/,,"Residential and outpatient treatment, supportive housing, veteran services, employment, and reentry support.",Call for program intake.,"Public funding, grants, insurance, and sliding-scale options vary.",,Alabama nonprofit behavioral health provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.specialkindofcaring.org/
AL017,Alabama,Mobile area,Mobile,The Shoulder,Residential and outpatient recovery,Adults seeking substance use treatment,(251) 626-2199,,,https://theshoulder.org/,,"Residential treatment, outpatient care, recovery support, and family services.",Call for assessment.,"Insurance, public funding, and self-pay may vary.",,Alabama certified nonprofit provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://theshoulder.org/
AL018,Alabama,Tuscaloosa area,Tuscaloosa,A Woman's Place,Women's substance use treatment,Women with substance use disorders,(205) 391-3131,,,https://mh.alabama.gov/providers-search/,,Women-specific substance use treatment and recovery support.,Call the listed program for screening.,State-funded and sliding-fee options may be available.,,ADMH-certified provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://mh.alabama.gov/providers-search/
AL019,Alabama,Birmingham area,Birmingham,Pearson Hall,Women's residential recovery,Women seeking residential substance use treatment,(205) 923-6552,,,https://www.adatc.org/,,"Women's residential treatment, counseling, recovery planning, and community reintegration.",Call for assessment and referral requirements.,Public funding and sliding-fee options may be available.,,Alabama treatment provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.adatc.org/
AL020,Alabama,Montgomery area,Montgomery,Lighthouse Counseling Center Substance Use Services,IOP and outpatient treatment,Adults and families seeking addiction care,(334) 286-5980,,,https://lighthousehelp.com/,,"Outpatient counseling, IOP, recovery support, and family services.",Call for assessment.,"Insurance, public funding, and sliding-scale options.",,ADMH-certified provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://lighthousehelp.com/
AL021,Alabama,Dothan area,Dothan,SpectraCare Substance Use Services,"IOP, residential, and crisis services",Adults and adolescents seeking behavioral health care,(800) 951-4357,,,https://www.specracare.org/,,"Assessment, outpatient, IOP, residential, crisis, medication, and community services.",Call central access.,"Medicaid, insurance, public funding, and sliding-scale options.",,Alabama community mental health provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://www.specracare.org/
AL022,Alabama,Birmingham area,Birmingham,Fellowship House,Residential and recovery housing,Adults with substance use and co-occurring mental health needs,(205) 933-2430,,,https://fshbhm.org/,,"Residential treatment, transitional housing, outpatient support, and community reintegration.",Call for screening and availability.,"Public funding, insurance, and participant fees may vary.",,Alabama nonprofit treatment and housing provider,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://fshbhm.org/
AL023,Alabama,Statewide,,Alabama 988 Crisis System,Mental health crisis,Anyone experiencing a mental health or emotional crisis,988,,Text 988,https://mh.alabama.gov/crisis-centers/,,Crisis counseling and connection to regional crisis centers.,Call or text 988.,Free and confidential.,,Alabama Crisis System of Care,"Available 24 hours a day, 7 days a week.",2026-08-03,https://mh.alabama.gov/crisis-centers/
AL024,Alabama,Birmingham area,Birmingham,Recovery Organization of Support Specialists,Peer recovery and navigation,People in recovery and families,(205) 848-2112,,,https://ross4u.org/,,"Peer recovery support, recovery community services, navigation, and family support.",Call or visit the recovery community center.,Many peer services are free.,,Alabama recovery community organization,"Call or check the linked page to confirm current hours, openings, insurance, and eligibility.",2026-08-03,https://ross4u.org/
