resource_id,state,service_area,city,resource_name,category,population_served,phone_primary,phone_secondary,text_contact,website,address,services,eligibility_and_intake,cost_notes,mat_notes,certification_or_authority,availability_note,last_verified,source_url
MA012,Massachusetts,Greater Boston,Boston,Greater Boston Legal Services,Legal help,Low income residents in Greater Boston with civil legal problems,(617) 371 1234,(800) 323 3205,,https://www.gbls.org/,"197 Friend Street, Boston, MA 02114","Civil legal aid involving housing, benefits, family, employment, immigration, consumer, and CORI related issues.",Call or review the intake instructions. Case acceptance depends on eligibility and capacity.,Free for eligible clients.,,Massachusetts nonprofit legal aid provider,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.gbls.org/
MA013,Massachusetts,Central and Western Massachusetts,Worcester,Community Legal Aid,Legal help and CORI reentry,Low income residents in Central and Western Massachusetts,(855) 252 5342,,,https://communitylegal.org/,"370 Main Street, Suite 200, Worcester, MA 01608","Civil legal aid including housing, benefits, family, employment, and CORI sealing or reentry barriers.",Call or apply online.,Free for eligible clients.,,Massachusetts nonprofit legal aid provider,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://communitylegal.org/
MA014,Massachusetts,Statewide,Boston,Housing Assistance for Massachusetts Residents,Housing assistance,"Renters, families, homeowners, and people experiencing housing instability",211,(617) 573 1100,,https://www.mass.gov/info-details/housing-assistance-for-massachusetts-residents,"100 Cambridge Street, Suite 300, Boston, MA 02114","Information about rental assistance, public housing, vouchers, emergency housing, energy assistance, and homelessness programs.",Call 211 for general program questions and use the online application portals.,,,Massachusetts Executive Office of Housing and Livable Communities,Mass 211 answers housing program questions 24 hours a day.,2026-08-03,https://www.mass.gov/info-details/housing-assistance-for-massachusetts-residents
MA015,Massachusetts,Statewide,,Emergency Assistance Family Shelter,Emergency family shelter,Eligible Massachusetts families with children or pregnant people experiencing homelessness,(866) 584 0653,,,https://www.mass.gov/how-to/apply-for-emergency-assistance-ea-family-shelter,,Eligibility screening and placement pathway for state Emergency Assistance family shelter.,Call for screening and application. Eligibility and documentation rules apply.,,,Massachusetts Executive Office of Housing and Livable Communities,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.mass.gov/how-to/apply-for-emergency-assistance-ea-family-shelter
MA016,Massachusetts,Statewide,Boston,MassHousing,Affordable housing,"Renters, homebuyers, homeowners, and housing partners",(617) 854 1000,(888) 843 6432,,https://www.masshousing.com/,"One Beacon Street, Boston, MA 02108","Affordable rental housing search, homebuyer loans, foreclosure prevention connections, and housing resources.",Call or use the rental and homeownership tools.,,,Massachusetts Housing Finance Agency,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.masshousing.com/
MA017,Massachusetts,Statewide,,Project Bread FoodSource Hotline,Food and basic needs,Massachusetts residents seeking food assistance or SNAP help,(800) 645 8333,TTY (800) 377 1292,,https://www.projectbread.org/get-help, ,"Food pantry referrals, meal site information, SNAP application help, and food assistance navigation.",Call the hotline or use the online food search.,Free.,,Project Bread and Massachusetts food assistance network,Monday through Friday 8:00 AM to 7:00 PM and Saturday 10:00 AM to 2:00 PM.,2026-08-03,https://www.projectbread.org/get-help
MA018,Massachusetts,Statewide,Boston,MassHire Career Centers,Employment and training,"Job seekers, returning citizens, youth, veterans, and employers",(617) 626 5300,,,https://www.mass.gov/info-details/masshire-career-center-locations,"100 Cambridge Street, 5th Floor, Boston, MA 02114","Job search, resumes, interviews, training and education referrals, career planning, and employer connections through more than 25 centers.",Use the location finder or call the state office.,Core job seeker services are free.,,MassHire Department of Career Services,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.mass.gov/info-details/masshire-career-center-locations
MA019,Massachusetts,Greater Boston,Roxbury,Casa Esperanza Men's Residential Program,Men's residential recovery,Men seeking culturally and linguistically responsive residential substance use treatment,(617) 445 1123 ext. 849,,,https://www.casaesperanza.org/what-we-do/our-services/residential/mens-residential/,"291 Eustis Street, Roxbury, MA 02119","Bilingual residential recovery, peer support, treatment planning, and continued care.",Call or download the referral form and submit it to the program.,,,Massachusetts licensed residential rehabilitation provider,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.casaesperanza.org/what-we-do/our-services/residential/mens-residential/
MA020,Massachusetts,Greater Boston,Roxbury,Casa Esperanza Latinas y Niños and Supportive Housing,Women's and family recovery,"Latina women, pregnant or parenting women, and families affected by substance use",(617) 445 1123 ext. 849,(617) 445 1123 ext. 15123,,https://www.casaesperanza.org/who-we-are/contact-us/,"302 Eustis Street, Roxbury, MA 02119","Residential recovery, family centered services, bilingual care, and supportive housing.",Call the residential intake extension or supportive housing extension.,,,Massachusetts licensed behavioral health and housing provider,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.casaesperanza.org/who-we-are/contact-us/
MA021,Massachusetts,Greater Boston,Charlestown,Gavin Foundation Charlestown Recovery House,Residential recovery,Adults seeking residential substance use recovery services,(617) 242 0088,,,https://www.gavinfoundation.org/,"15 Bunker Hill Street, Charlestown, MA 02129","Residential rehabilitation, structured recovery, counseling, peer support, and community reintegration.","Call for assessment, referral requirements, and availability.",,,Massachusetts licensed residential rehabilitation provider,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://hhsvgapps03.hhs.state.ma.us/elicensing-pubweb/prog/main.htm
MA022,Massachusetts,Greater Boston,Boston,Victory Programs Recovery Home Division,Recovery housing and treatment,"Adults in recovery, with program specific populations including women, families, and people with complex health needs",(617) 288 1272,,,https://www.vpi.org/contact-us/,"404 South Huntington Avenue, Boston, MA 02130","Recovery homes, residential treatment, supportive housing, health services, and individualized recovery support.",Call the Recovery Home Division or use the Connect to Services form.,,,Massachusetts licensed and funded recovery services provider,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.vpi.org/contact-us/
MA023,Massachusetts,Worcester County,Worcester,Dismas House of Massachusetts,Reentry transitional housing,Formerly incarcerated adults seeking sober transitional housing and reentry support,(508) 799 9389,,,https://www.dismasisfamily.org/programs/dismashouse/,"30 Richards Street, Worcester, MA 01603","Sober transitional housing, employment and education goals, recovery support, community meals, and reentry services.",Complete the online application. Program information lists sobriety requirements and a minimum commitment.,,,Massachusetts reentry nonprofit,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.cominghomeworcester.org/re-entry-services/dismas-house/
MA024,Massachusetts,Statewide,,Massachusetts RMV Identification Card,Identification and documents,Massachusetts residents age 14 or older who do not hold a valid driver license,(857) 368 8000,(800) 858 3926,,https://www.mass.gov/how-to/apply-for-a-massachusetts-identification-card-mass-id, ,"Mass ID application, document checklists, appointments, fees, renewals, and replacements.","Start online, gather required identity and residency documents, and complete the process at an RMV Service Center.","$25 standard Mass ID fee, subject to current RMV rules.",,Massachusetts Registry of Motor Vehicles,"Call or check the linked page to confirm current hours, openings, and eligibility.",2026-08-03,https://www.mass.gov/how-to/apply-for-a-massachusetts-identification-card-mass-id
